,model,input_text,output_data_source,input_vector,output_text,output_vector,k
713,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,غزلیات حافظ => 62,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",روی تو کس ندید و هزارت رقیب هست در غنچه‌ای هنوز و صدت عندلیب هست گر آمدم به کوی تو چندان غریب نیست چون من در آن دیار هزاران غریب هست در عشق خانقاه و خرابات فرق نیست هر جا که هست پرتو روی حبیب هست آن جا که کار صومعه را جلوه می‌دهند ناقوس دیر راهب و نام صلیب هست عاشق که شد که یار به حالش نظر نکرد ای خواجه درد نیست وگرنه طبیب هست فریاد حافظ این همه آخر به هرزه نیست هم قصه‌ای غریب و حدیثی عجیب هست,"[[ 4.5538344e-03 -6.8016750e-05  2.2524692e-02 ...  2.3363046e-02
   2.6104230e-02  1.5647210e-02]]",2
914,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,غزلیات شمس => 1208,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",علم عشق برآمد برهانم ز زحیرم به لب چشمه حیوان بکشم پای بمیرم به که مانم به که مانم که سطرلاب جهانم چو قضا حکم روانم نه امیرم نه وزیرم بروی ای عالم هستی همه را پای ببستی تو اگر جان منستی نپذیرم نپذیرم,"[[ 4.8937788e-03 -4.1476633e-05  4.3802373e-03 ...  5.8385124e-03
   4.8457040e-03  1.1608243e-02]]",3
915,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,غزلیات شمس => 1509,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",ای دم به دم مصور جان از درون تن نزدیکتر ز فکرت این نکته ها به من ز آینده و گذشته چرا یاد می کنم که لذت زمانی و هم قبله زمن جان حقایقی و خیالات دلربا و آن نقش های مه که نگنجد در این دهن,"[[ 0.01434034  0.00374538 -0.00279389 ...  0.01460608  0.00646699
   0.05627859]]",4
913,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,غزلیات شمس => 1570,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]],2
912,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,غزلیات شمس => 917,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,"[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717413]]",1
115,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,نقل قول از نویسندگان انگلیسی زبان => 1061,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",Do n't be satisfied with stories how things have gone with others Unfold your own myth,[[0.02871645 0.00089966 0.00827599 ... 0.01083886 0.01161348 0.02888911]],4
112,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,نقل قول از نویسندگان انگلیسی زبان => 1806,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",The best way to cheer yourself is to try to cheer someone else up,"[[ 0.01599932 -0.00013123  0.02906591 ...  0.02225867  0.0228345
   0.01348193]]",1
114,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,نقل قول از نویسندگان انگلیسی زبان => 533,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",Take responsibility of your own happiness never put it in other people s hands,[[0.02973018 0.00309939 0.00570269 ... 0.00222755 0.01786174 0.03486456]],3
113,LASER,باید تجارب خود را به افراد دیگر منتقل کنیم,نقل قول از نویسندگان انگلیسی زبان => 811,"[[ 0.02844489 -0.00019039  0.00320344 ...  0.00115799  0.01048163
   0.01547805]]",I suppose I 'll have to add the force of gravity to my list of enemies,"[[ 1.3669317e-02 -7.4112831e-05  3.7431431e-03 ...  1.5623530e-02
   2.5184687e-02  2.8118929e-02]]",2
482,LASER,باید حقوق دیگران را رعایت کنیم,تک‌بیتی‌های فارسی => 214,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",آورم پیش تو هر لحظه پیام دگران گویمت تا سخن خویش به نام دگران,"[[ 4.1540597e-02 -1.4299221e-05 -1.4786642e-04 ...  9.8432256e-03
   9.3139196e-03  3.6758613e-02]]",1
486,LASER,باید حقوق دیگران را رعایت کنیم,تک‌بیتی‌های فارسی => 224,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",از طلا گشتن پشیمان گشته ایم مرحمت فرموده ما را مس کنید,[[0.00039766 0.00355757 0.00086508 ... 0.01052631 0.0127219  0.02713548]],5
485,LASER,باید حقوق دیگران را رعایت کنیم,تک‌بیتی‌های فارسی => 241,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",اجرام که ساکنان این ایوانند اسباب تردد خردمندانند,[[0.00430876 0.00522014 0.00044195 ... 0.01097318 0.01087319 0.0449201 ]],4
483,LASER,باید حقوق دیگران را رعایت کنیم,تک‌بیتی‌های فارسی => 258,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",بدر را هم با بدی پاداش کردن نه کار مردم آزاده باشد,"[[ 0.0060749  -0.00017384 -0.00229652 ...  0.02003353  0.01227698
   0.0147528 ]]",2
487,LASER,باید حقوق دیگران را رعایت کنیم,تک‌بیتی‌های فارسی => 262,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",بنازم به بزم محبت که آنجا گدایی به شاهی مقابل نشیند,[[0.00662867 0.00482374 0.01113161 ... 0.0141809  0.01343093 0.0246132 ]],6
484,LASER,باید حقوق دیگران را رعایت کنیم,تک‌بیتی‌های فارسی => 339,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",خود سازی پیران بود افزون ز جوانان تعمیر ضرورست بناهای کهن را,"[[ 0.00257831 -0.00020721  0.00072528 ...  0.00605481  0.00076863
   0.0347068 ]]",3
595,LASER,باید حقوق دیگران را رعایت کنیم,حکمت‌های نهج‌البلاغه => 145,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",و قال ع من قضی حق من لا یقضی حقه فقد عبده ,"[[ 0.00446303  0.010518   -0.00119034 ...  0.0116897   0.00785626
   0.02865986]]",2
594,LASER,باید حقوق دیگران را رعایت کنیم,حکمت‌های نهج‌البلاغه => 394,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",و قال ع الولایات مضامیر الرجال ,[[0.01120629 0.00916967 0.00724613 ... 0.00214781 0.02557705 0.02527726]],1
789,LASER,باید حقوق دیگران را رعایت کنیم,غزلیات حافظ => 176,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",نه هر که چهره برافروخت دلبری داند نه هر که آینه سازد سکندری داند نه هر که طرف کله کج نهاد و تند نشست کلاه داری و آیین سروری داند تو بندگی چو گدایان به شرط مزد مکن که دوست خود روش بنده پروری داند غلام همت آن رند عافیت سوزم که در گداصفتی کیمیاگری داند وفا و عهد نکو باشد ار بیاموزی وگرنه هر که تو بینی ستمگری داند بباختم دل دیوانه و ندانستم که آدمی بچه‌ای شیوه پری داند هزار نکته باریکتر ز مو این جاست نه هر که سر بتراشد قلندری داند مدار نقطه بینش ز خال توست مرا که قدر گوهر یک دانه جوهری داند به قد و چهره هر آن کس که شاه خوبان شد جهان بگیرد اگر دادگستری داند ز شعر دلکش حافظ کسی بود آگاه که لطف طبع و سخن گفتن دری داند,"[[ 0.01046778 -0.00028804  0.02861778 ...  0.0032242   0.01850072
   0.02588346]]",2
790,LASER,باید حقوق دیگران را رعایت کنیم,غزلیات حافظ => 405,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",گفتا برون شدی به تماشای ماه نو از ماه ابروان منت شرم باد رو عمریست تا دلت ز اسیران زلف ماست غافل ز حفظ جانب یاران خود مشو مفروش عطر عقل به هندوی زلف ما کان جا هزار نافه مشکین به نیم جو تخم وفا و مهر در این کهنه کشته زار آن گه عیان شود که بود موسم درو ساقی بیار باده که رمزی بگویمت از سر اختران کهن سیر و ماه نو شکل هلال هر سر مه می‌دهد نشان از افسر سیامک و ترک کلاه زو حافظ جناب پیر مغان مامن وفاست درس حدیث عشق بر او خوان و ز او شنو,"[[ 0.02756089 -0.00015862 -0.00235817 ...  0.00607934  0.01730425
   0.01651322]]",3
791,LASER,باید حقوق دیگران را رعایت کنیم,غزلیات حافظ => 469,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",سینه مالامال درد است ای دریغا مرهمی دل ز تنهایی به جان آمد خدا را همدمی چشم آسایش که دارد از سپهر تیزرو ساقیا جامی به من ده تا بیاسایم دمی زیرکی را گفتم این احوال بین خندید و گفت صعب روزی بوالعجب کاری پریشان عالمی سوختم در چاه صبر از بهر آن شمع چگل شاه ترکان فارغ است از حال ما کو رستمی در طریق عشقبازی امن و آسایش بلاست ریش باد آن دل که با درد تو خواهد مرهمی اهل کام و ناز را در کوی رندی راه نیست ره روی باید جهان سوزی نه خامی بی‌غمی آدمی در عالم خاکی نمی‌آید به دست عالمی دیگر بباید ساخت و از نو آدمی خیز تا خاطر بدان ترک سمرقندی دهیم کز نسیمش بوی جوی مولیان آید همی گریه حافظ چه سنجد پیش استغنای عشق کاندر این دریا نماید هفت دریا شبنمی,"[[ 8.1873536e-03  2.3387911e-02 -3.9520088e-05 ...  2.4226654e-02
   2.2345401e-02  1.9382501e-02]]",4
788,LASER,باید حقوق دیگران را رعایت کنیم,غزلیات حافظ => 69,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",مردم دیده ما جز به رخت ناظر نیست دل سرگشته ما غیر تو را ذاکر نیست اشکم احرام طواف حرمت می‌بندد گر چه از خون دل ریش دمی طاهر نیست بسته دام و قفس باد چو مرغ وحشی طایر سدره اگر در طلبت طایر نیست عاشق مفلس اگر قلب دلش کرد نثار مکنش عیب که بر نقد روان قادر نیست عاقبت دست بدان سرو بلندش برسد هر که را در طلبت همت او قاصر نیست از روان بخشی عیسی نزنم دم هرگز زان که در روح فزایی چو لبت ماهر نیست من که در آتش سودای تو آهی نزنم کی توان گفت که بر داغ دلم صابر نیست روز اول که سر زلف تو دیدم گفتم که پریشانی این سلسله را آخر نیست سر پیوند تو تنها نه دل حافظ راست کیست آن کش سر پیوند تو در خاطر نیست,"[[ 0.04717536 -0.00016636  0.00233834 ...  0.01568106  0.01500359
   0.06286163]]",1
989,LASER,باید حقوق دیگران را رعایت کنیم,غزلیات شمس => 1208,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",علم عشق برآمد برهانم ز زحیرم به لب چشمه حیوان بکشم پای بمیرم به که مانم به که مانم که سطرلاب جهانم چو قضا حکم روانم نه امیرم نه وزیرم بروی ای عالم هستی همه را پای ببستی تو اگر جان منستی نپذیرم نپذیرم,"[[ 4.8937788e-03 -4.1476633e-05  4.3802373e-03 ...  5.8385124e-03
   4.8457040e-03  1.1608243e-02]]",2
988,LASER,باید حقوق دیگران را رعایت کنیم,غزلیات شمس => 1570,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]],1
990,LASER,باید حقوق دیگران را رعایت کنیم,غزلیات شمس => 2158,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",ز کجا آمده ای می دانی ز میان حرم سبحانی یاد کن هیچ به یادت آید آن مقامات خوش روحانی پس فراموش شدستت آن ها لاجرم خیره و سرگردانی جان فروشی به یکی مشتی خاک این چه بیع است بدین ارزانی بازده خاک و بدان قیمت خود نی غلامی ملکی سلطانی جهت تو ز فلک آمده اند خوبرویان خوش پنهانی,"[[ 0.00884223  0.00176949 -0.00196003 ...  0.03025193  0.0141828
   0.02054211]]",3
991,LASER,باید حقوق دیگران را رعایت کنیم,غزلیات شمس => 917,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,"[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717413]]",4
190,LASER,باید حقوق دیگران را رعایت کنیم,نقل قول از نویسندگان انگلیسی زبان => 1398,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",People should n't be afraid of their government Governments should be afraid of their people,"[[ 6.4926450e-03 -8.6678221e-05  1.1977052e-03 ...  1.4858387e-02
   3.1869594e-02  5.9291488e-03]]",3
191,LASER,باید حقوق دیگران را رعایت کنیم,نقل قول از نویسندگان انگلیسی زبان => 1809,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",The price good men pay for indifference to public affairs is to be ruled by evil men,"[[ 0.00574948 -0.00022405  0.00863881 ...  0.00429071  0.02234023
   0.01669099]]",4
189,LASER,باید حقوق دیگران را رعایت کنیم,نقل قول از نویسندگان انگلیسی زبان => 533,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",Take responsibility of your own happiness never put it in other people s hands,[[0.02973018 0.00309939 0.00570269 ... 0.00222755 0.01786174 0.03486456]],2
188,LASER,باید حقوق دیگران را رعایت کنیم,نقل قول از نویسندگان انگلیسی زبان => 784,"[[ 0.03747107 -0.00016837  0.00286943 ...  0.00470715  0.00046697
   0.02867498]]",A brave man acknowledges the strength of others,"[[ 0.02225652 -0.00030711  0.01480349 ...  0.01365435 -0.00271821
   0.03326572]]",1
401,LASER,باید حق‌جو وعدالت‌پیشه باشیم,تک‌بیتی‌های فارسی => 238,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",ایمن مشو ز فتنه چو خود فتنه می‌کنی گر چیره‌ای تو چیره‌تر است از تو روزگار,"[[ 0.00716491  0.00231027 -0.00083689 ...  0.0177553   0.01013849
   0.02047819]]",4
403,LASER,باید حق‌جو وعدالت‌پیشه باشیم,تک‌بیتی‌های فارسی => 266,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",به ملک فقر وقناعت از آن خوشم کین ملک به زبر امر وزیری و حکم شاهی نیست,"[[ 0.00330509  0.00128474 -0.00039186 ...  0.01940942  0.00261345
   0.02884637]]",6
399,LASER,باید حق‌جو وعدالت‌پیشه باشیم,تک‌بیتی‌های فارسی => 309,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",چو در هنر پسر امتیاز خویش نه‌ای بزرگ بودن جد و پدر چه خواهد کرد,"[[ 0.00969771  0.00114006  0.00231011 ...  0.00663623 -0.00015519
   0.02343455]]",2
398,LASER,باید حق‌جو وعدالت‌پیشه باشیم,تک‌بیتی‌های فارسی => 328,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",حق را ز دل خالی از اندیشه طلب کن از شیشه‌ی بی می، می بی شیشه طلب کن,"[[ 1.0672450e-02 -7.0078378e-05 -1.4239252e-03 ...  1.1402276e-02
   8.0150040e-03  3.2664206e-02]]",1
402,LASER,باید حق‌جو وعدالت‌پیشه باشیم,تک‌بیتی‌های فارسی => 343,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",دادند دو گوش یک زبانت ز آغاز یعنی که دو بشنو و یک بیش مگو,[[0.01170638 0.00311992 0.00070672 ... 0.01391308 0.00692709 0.03015694]],5
400,LASER,باید حق‌جو وعدالت‌پیشه باشیم,تک‌بیتی‌های فارسی => 96,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",ما همه بیچاره‌ایم و تنها تو چاره و ما همه هیچ کاره‌ایم و تنها تو کاره,"[[ 1.8927848e-02 -5.2327243e-05  8.2346541e-04 ...  5.4591089e-03
   1.2759146e-02  1.5919266e-02]]",3
567,LASER,باید حق‌جو وعدالت‌پیشه باشیم,حکمت‌های نهج‌البلاغه => 133,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",و قال ع لکل مقبل ادبار و ما ادبر کان لم یکن ,[[0.01405381 0.01053343 0.0015543  ... 0.00663283 0.00202965 0.01856611]],2
566,LASER,باید حق‌جو وعدالت‌پیشه باشیم,حکمت‌های نهج‌البلاغه => 216,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",و قال ع من اطاع التوانی‌ ضیع الحقوق و من اطاع الواشی‌ ضیع الصدیق ,"[[1.3650830e-02 7.5550647e-03 9.8940625e-05 ... 2.5862478e-02
  5.8993017e-03 2.1496875e-02]]",1
733,LASER,باید حق‌جو وعدالت‌پیشه باشیم,غزلیات حافظ => 121,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",هر آن که جانب اهل خدا نگه دارد خداش در همه حال از بلا نگه دارد حدیث دوست نگویم مگر به حضرت دوست که آشنا سخن آشنا نگه دارد دلا معاش چنان کن که گر بلغزد پای فرشته‌ات به دو دست دعا نگه دارد گرت هواست که معشوق نگسلد پیمان نگاه دار سر رشته تا نگه دارد صبا بر آن سر زلف ار دل مرا بینی ز روی لطف بگویش که جا نگه دارد چو گفتمش که دلم را نگاه دار چه گفت ز دست بنده چه خیزد خدا نگه دارد سر و زر و دل و جانم فدای آن یاری که حق صحبت مهر و وفا نگه دارد غبار راه راهگذارت کجاست تا حافظ به یادگار نسیم صبا نگه دارد,"[[ 3.4685016e-02 -4.3981094e-05  3.7219040e-02 ...  1.4021117e-03
   2.3870695e-02  2.5457505e-02]]",2
732,LASER,باید حق‌جو وعدالت‌پیشه باشیم,غزلیات حافظ => 394,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",گلبرگ را ز سنبل مشکین نقاب کن یعنی که رخ بپوش و جهانی خراب کن بفشان عرق ز چهره و اطراف باغ را چون شیشه‌های دیده ما پرگلاب کن ایام گل چو عمر به رفتن شتاب کرد ساقی به دور باده گلگون شتاب کن بگشا به شیوه نرگس پرخواب مست را و از رشک چشم نرگس رعنا به خواب کن بوی بنفشه بشنو و زلف نگار گیر بنگر به رنگ لاله و عزم شراب کن زان جا که رسم و عادت عاشق‌کشی توست با دشمنان قدح کش و با ما عتاب کن همچون حباب دیده به روی قدح گشای وین خانه را قیاس اساس از حباب کن حافظ وصال می‌طلبد از ره دعا یا رب دعای خسته دلان مستجاب کن,"[[ 0.02143804 -0.00053007  0.05311827 ...  0.00554796  0.02805553
   0.0511259 ]]",1
735,LASER,باید حق‌جو وعدالت‌پیشه باشیم,غزلیات حافظ => 437,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",سبت سلمی بصدغیها فادی و روحی کل یوم لی ینادی نگارا بر من بی‌دل ببخشای و واصلنی علی رغم الاعادی حبیبا در غم سودای عشقت توکلنا علی رب العباد امن انکرتنی عن عشق سلمی تزاول آن روی نهکو بوادی که همچون مت به بوتن دل و ای ره غریق العشق فی بحر الوداد به پی ماچان غرامت بسپریمن غرت یک وی روشتی از امادی غم این دل بواتت خورد ناچار و غر نه او بنی آنچت نشادی دل حافظ شد اندر چین زلفت بلیل مظلم و الله هادی,"[[ 1.2357286e-02 -5.6429872e-05  1.0585133e-03 ...  3.4026767e-03
   2.7877621e-03  3.2775253e-02]]",4
734,LASER,باید حق‌جو وعدالت‌پیشه باشیم,غزلیات حافظ => 74,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",خواب آن نرگس فتان تو بی چیزی نیست تاب آن زلف پریشان تو بی چیزی نیست از لبت شیر روان بود که من می‌گفتم این شکر گرد نمکدان تو بی چیزی نیست جان درازی تو بادا که یقین می‌دانم در کمان ناوک مژگان تو بی چیزی نیست مبتلایی به غم محنت و اندوه فراق ای دل این ناله و افغان تو بی چیزی نیست دوش باد از سر کویش به گلستان بگذشت ای گل این چاک گریبان تو بی چیزی نیست درد عشق ار چه دل از خلق نهان می‌دارد حافظ این دیده گریان تو بی چیزی نیست,"[[ 1.7349776e-02 -8.9384659e-05  2.5417961e-02 ...  9.5066587e-03
   3.8152128e-02  1.9157071e-02]]",3
933,LASER,باید حق‌جو وعدالت‌پیشه باشیم,غزلیات شمس => 1425,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",ای عربده کرده دوش با من می خورده و کرده جوش با من ای جان به حق وصال دوشین در خشم چنین مکوش با من گر با تو ز من بدی بگفتید با بنده بگو مپوش با من,"[[ 2.0160193e-03 -2.2304150e-05  8.0570113e-03 ...  1.3515984e-02
   1.9030575e-02  2.7220832e-02]]",2
932,LASER,باید حق‌جو وعدالت‌پیشه باشیم,غزلیات شمس => 1795,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",فدیتتک یا ستی الناسیه الی کم تشد فم الخابیه الا فاملای منه لی کاسه تذکرنی صفوه ناسیه فما کاسه منه الا نجی و تاتی باخت لها آبیه,"[[ 0.01677951 -0.00011786 -0.00165597 ...  0.01060321  0.00501328
   0.02375513]]",1
935,LASER,باید حق‌جو وعدالت‌پیشه باشیم,غزلیات شمس => 2142,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",طبع چیزی نو به نو خواهد همی چیز نو نو راهرو خواهد همی سر نو خواهی که تا خندان شود سر دو گوش سرشنو خواهد همی جان پاکان طالب جان زر است جان حیوان کاه و جو خواهد همی گفته مستان ساقیا هل من مزید ساقی از مستان گرو خواهد همی رو به سر چون سیل تا بحر حیات جوی کن کان آب گو خواهد همی,"[[ 0.00634214 -0.00010311  0.00745905 ...  0.02056266  0.00504462
   0.03091544]]",4
934,LASER,باید حق‌جو وعدالت‌پیشه باشیم,غزلیات شمس => 861,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",عار بادا جهانیان را عار از دو سه ماده ابله طرار شکلک زاهدان ولی ز درون لیس فی الدار سیدی دیار به دو پول سیاه بتوان یافت زین چنین خربطان دو سه خروار,"[[ 5.8419439e-03  1.6279167e-03 -4.7512117e-06 ...  1.6262697e-02
   2.0888187e-02  1.0610698e-02]]",3
133,LASER,باید حق‌جو وعدالت‌پیشه باشیم,نقل قول از نویسندگان انگلیسی زبان => 1021,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",We have to continually be jumping off cliffs and developing our wings on the way down,"[[ 9.8075280e-03 -1.2923173e-06 -2.7256992e-04 ...  4.8180441e-03
   3.8680190e-03  1.4941406e-02]]",2
135,LASER,باید حق‌جو وعدالت‌پیشه باشیم,نقل قول از نویسندگان انگلیسی زبان => 1418,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",It would n't be my move '' Jace agreed `` First the candy and flowers then the apology letters then the ravenous demon hordes In that order,"[[ 8.5060364e-03 -7.2380077e-05 -5.0324849e-03 ...  1.4573522e-02
   1.2739857e-02  3.8707238e-02]]",4
134,LASER,باید حق‌جو وعدالت‌پیشه باشیم,نقل قول از نویسندگان انگلیسی زبان => 1643,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",There must be those among whom we can sit down and weep and still be counted as warriors,"[[ 1.7018720e-03 -3.3907145e-05  2.6470214e-02 ...  1.8148376e-02
   1.8609315e-02  4.3990873e-02]]",3
132,LASER,باید حق‌جو وعدالت‌پیشه باشیم,نقل قول از نویسندگان انگلیسی زبان => 394,"[[4.0458040e-03 1.9489071e-05 9.0207334e-04 ... 2.8033720e-03
  6.3439910e-03 1.8883839e-02]]",We have to dare to be ourselves however frightening or strange that self may prove to be,"[[ 0.02143804 -0.00053007  0.05311827 ...  0.00554796  0.02805553
   0.0511259 ]]",1
406,LASER,باید خاک وطن را دوست داشت,تک‌بیتی‌های فارسی => 141,"[[ 0.00294061 -0.00023008  0.00048073 ...  0.00078501  0.00918902
   0.01806158]]",هرگز مژه بر هم ننهد عاشق صادق آن را که به دل عشق بود خواب نباشد,"[[ 0.00163748 -0.00026339  0.00185865 ... -0.00094546  0.00889726
   0.02676816]]",3
408,LASER,باید خاک وطن را دوست داشت,تک‌بیتی‌های فارسی => 262,"[[ 0.00294061 -0.00023008  0.00048073 ...  0.00078501  0.00918902
   0.01806158]]",بنازم به بزم محبت که آنجا گدایی به شاهی مقابل نشیند,[[0.00662867 0.00482374 0.01113161 ... 0.0141809  0.01343093 0.0246132 ]],5
407,LASER,باید خاک وطن را دوست داشت,تک‌بیتی‌های فارسی => 268,"[[ 0.00294061 -0.00023008  0.00048073 ...  0.00078501  0.00918902
   0.01806158]]",به همه حال شکر باید کرد که مبادا ز بد بتر گردد,[[0.00089578 0.00667247 0.00460315 ... 0.02313436 0.01241052 0.01738133]],4
409,LASER,باید خاک وطن را دوست داشت,تک‌بیتی‌های فارسی => 33,"[[ 0.00294061 -0.00023008  0.00048073 ...  0.00078501  0.00918902
   0.01806158]]",مکن عیبم که نوشیدم می عشق شراب مفت را قاضی بنوشد,"[[-0.0009901   0.00312927 -0.00041434 ...  0.0086499   0.00371345
   0.02318652]]",6
404,LASER,باید خاک وطن را دوست داشت,تک‌بیتی‌های فارسی => 333,"[[ 0.00294061 -0.00023008  0.00048073 ...  0.00078501  0.00918902
   0.01806158]]",خاکم به سر ز غصه به سر خاک اگر کنم خاک وطن که رفت چه خاکی به سر کنم,"[[ 0.00048767 -0.0001397   0.00155051 ...  0.00990537  0.0190069
   0.01807042]]",1
405,LASER,باید خاک وطن را دوست داشت,تک‌بیتی‌های فارسی => 340,"[[ 0.00294061 -0.00023008  0.00048073 ...  0.00078501  0.00918902
   0.01806158]]",خوردن خاک قناعت بر ارباب خرد به ز نانی که در او منت دونان باشد,[[0.00545508 0.00010885 0.00157389 ... 0.01761942 0.00414354 0.0264707 ]],2
