,Unnamed: 0,input_id,output_id,input_text,output_text,chapter,tag
739,437,35,2479,مردم را باید از کارهای بد باز داشت,ز هر چیزی ملول است آن فضولی ملولش کن خدایا از ملولی به قاصد تا بیاشوبد بجنگد بدو گفتم ملولی هست گولی بخورد آن بازی من خشمگین شد مرا گفتا خمش دیوانه لولی نگوید هیچ را بد مرد این راه مبین بد هیچ را ور نی تو غولی بگفتم عین انکار تو بر من نه بد دیدن بود یا بی حصولی مرا گفت او تناقض های بینا بود از مصلحت نه از بی اصولی محالی گر بگوید مرد کامل تو عین حال دانش ای حلولی گهی درد که داند گه بدوزد گهی شاهی کند گاهی رسولی به تاویلات تو او درنگنجد که تو هستی فصولی او اصولی ز خود منگر در او از خود برون آ که بر بی حد ندارد حد شمولی خمش ای نفس تازی هم بگویم دوباره لا تقولی لا تقولی,2700,1
766,465,35,3690,مردم را باید از کارهای بد باز داشت,"For you, a thousand times ove",,0
111,321,35,5050,مردم را باید از کارهای بد باز داشت,Well-read people are less likely to be evil,,1
738,435,22,775,میزان موفقیت به اندازه میزان رنج و تلاش است,چون دلت با من نباشد همنشینی سود نیست گر چه با من می نشینی چون چنینی سود نیست چون دهانت بسته باشد در جگر آتش بود در میان جو درآیی آب بینی سود نیست چونک در تن جان نباشد صورتش را ذوق نیست چون نباشد نان و نعمت صحن و سینی سود نیست گر زمین از مشک و عنبر پر شود تا آسمان چون نباشد آدمی را راه بینی سود نیست تا ز آتش می گریزی ترش و خامی چون پنیر گر هزاران یار و دلبر می گزینی سود نیست,389,0
757,456,22,3172,میزان موفقیت به اندازه میزان رنج و تلاش است,چاره مرگ است اگر کار به ناکس افتد مشکل این است که کارم به کسی افتاده است,,0
793,493,22,3729,میزان موفقیت به اندازه میزان رنج و تلاش است,Turn your wounds into wisdom,,1
100,295,22,4923,میزان موفقیت به اندازه میزان رنج و تلاش است,All happiness depends on courage and work,,2
753,452,16,4565,نباید از دیگران درخواست های متعدد داشت,Quotation is a serviceable substitute for wit,,0
762,461,16,403,نباید از دیگران درخواست های متعدد داشت,می‌فکن بر صف رندان نظری بهتر از این بر در میکده می کن گذری بهتر از این در حق من لبت این لطف که می‌فرماید سخت خوب است ولیکن قدری بهتر از این آن که فکرش گره از کار جهان بگشاید گو در این کار بفرما نظری بهتر از این ناصحم گفت که جز غم چه هنر دارد عشق برو ای خواجه عاقل هنری بهتر از این دل بدان رود گرامی چه کنم گر ندهم مادر دهر ندارد پسری بهتر از این من چو گویم که قدح نوش و لب ساقی بوس بشنو از من که نگوید دگری بهتر از این کلک حافظ شکرین میوه نباتیست به چین که در این باغ نبینی ثمری بهتر از این,غزل    ۴۰۴,-1
734,431,18,5415,نباید اندوهگین شد,و قال ع ما کذبت و لا کذبت و لا ضللت و لا ضل بی‌,185,0
783,483,18,1057,نباید اندوهگین شد,خنک آن کس که چو ما شد همگی لطف و رضا شد ز جفا رست و ز غصه همه شادی و وفا شد ز طرب چون طربون شد خرد از باده زبون شد گرو عشق و جنون شد گهر بحر صفا شد مه و خورشید نظر شد که از او خاک چو زر شد به کرم بحر گهر شد به روش باد صبا شد چو شه عشق کشیدش ز همه خلق بریدش نظر عشق گزیدش همه حاجات روا شد به سفر چون مه گردون به شب چارده پر شد به نظرهای الهی به یکی لحظه کجا شد چو زمین بود فلک شد همگی حسن و نمک شد بشری بود ملک شد مگسی بود هما شد,763,1
725,421,4,3116,نباید براساس ظاهر افراد را قضاوت کرد,چون روزی و عمر بیش و کمک نتوان کرد دل را به کم و بیش دژم نتوان کرد,,0
726,422,4,4565,نباید براساس ظاهر افراد را قضاوت کرد,Quotation is a serviceable substitute for wit,,1
727,423,4,132,نباید براساس ظاهر افراد را قضاوت کرد,صوفی نهاد دام و سر حقه باز کرد بنیاد مکر با فلک حقه باز کرد بازی چرخ بشکندش بیضه در کلاه زیرا که عرض شعبده با اهل راز کرد ساقی بیا که شاهد رعنای صوفیان دیگر به جلوه آمد و آغاز ناز کرد این مطرب از کجاست که ساز عراق ساخت و آهنگ بازگشت به راه حجاز کرد ای دل بیا که ما به پناه خدا رویم زان چه آستین کوته و دست دراز کرد صنعت مکن که هر که محبت نه راست باخت عشقش به روی دل در معنی فراز کرد فردا که پیشگاه حقیقت شود پدید شرمنده ره روی که عمل بر مجاز کرد ای کبک خوش خرام کجا می‌روی بایست غره مشو که گربه زاهد نماز کرد حافظ مکن ملامت رندان که در ازل ما را خدا ز زهد ریا بی‌نیاز کرد,غزل    ۱۳۳,0
746,444,4,3134,نباید براساس ظاهر افراد را قضاوت کرد,بلا ندیده دعا را شروع باید کرد علاج واقعه پیش از وقوع باید کرد,,0
752,451,33,132,نباید در خوردن زیاده‌روی کرد,صوفی نهاد دام و سر حقه باز کرد بنیاد مکر با فلک حقه باز کرد بازی چرخ بشکندش بیضه در کلاه زیرا که عرض شعبده با اهل راز کرد ساقی بیا که شاهد رعنای صوفیان دیگر به جلوه آمد و آغاز ناز کرد این مطرب از کجاست که ساز عراق ساخت و آهنگ بازگشت به راه حجاز کرد ای دل بیا که ما به پناه خدا رویم زان چه آستین کوته و دست دراز کرد صنعت مکن که هر که محبت نه راست باخت عشقش به روی دل در معنی فراز کرد فردا که پیشگاه حقیقت شود پدید شرمنده ره روی که عمل بر مجاز کرد ای کبک خوش خرام کجا می‌روی بایست غره مشو که گربه زاهد نماز کرد حافظ مکن ملامت رندان که در ازل ما را خدا ز زهد ریا بی‌نیاز کرد,غزل    ۱۳۳,0
110,316,33,4450,نباید در خوردن زیاده‌روی کرد,Don't be so humble - you are not that great,,0
791,491,30,1648,نباید مغرور باشیم,از اصل چو حورزاد باشیم شاید که همیشه شاد باشیم ما داد طرب دهیم تا ما در عشق امیرداد باشیم چون عشق بنا نهاد ما را دانی که نکونهاد باشیم در عشق توام گشاد دیده چون عشق تو باگشاد باشیم ما را چو مراد بی مرادی است پس ما همه بر مراد باشیم چون بنده بندگان عشقیم کیخسرو و کیقباد باشیم چون یوسف آن عزیز مصریم هر چند که در مزاد باشیم بر چهره یوسفی حجابی است اندر پس پرده راد باشیم خود باد حجاب را رباید ما منتظران باد باشیم ما دل به صلاح دین سپردیم تا در دل او به یاد باشیم,1551,0
794,494,30,336,نباید مغرور باشیم,چرا نه در پی عزم دیار خود باشم چرا نه خاک سر کوی یار خود باشم غم غریبی و غربت چو بر نمی‌تابم به شهر خود روم و شهریار خود باشم ز محرمان سراپرده وصال شوم ز بندگان خداوندگار خود باشم چو کار عمر نه پیداست باری آن اولی که روز واقعه پیش نگار خود باشم ز دست بخت گران خواب و کار بی‌سامان گرم بود گله‌ای رازدار خود باشم همیشه پیشه من عاشقی و رندی بود دگر بکوشم و مشغول کار خود باشم بود که لطف ازل رهنمون شود حافظ وگرنه تا به ابد شرمسار خود باشم,غزل    ۳۳۷,0
108,310,30,4727,نباید مغرور باشیم,If we couldn't laugh we would all go insane,,0
109,311,30,3784,نباید مغرور باشیم,Being crazy isn't enough,,0
747,445,47,5,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,به ملازمان سلطان که رساند این دعا را که به شکر پادشاهی ز نظر مران گدا را ز رقیب دیوسیرت به خدای خود پناهم مگر آن شهاب ثاقب مددی دهد خدا را مژه سیاهت ار کرد به خون ما اشارت ز فریب او بیندیش و غلط مکن نگارا دل عالمی بسوزی چو عذار برفروزی تو از این چه سود داری که نمی‌کنی مدارا همه شب در این امیدم که نسیم صبحگاهی به پیام آشنایان بنوازد آشنا را چه قیامت است جانا که به عاشقان نمودی دل و جان فدای رویت بنما عذار ما را به خدا که جرعه‌ای ده تو به حافظ سحرخیز که دعای صبحگاهی اثری کند شما را,غزل    ۶,0
768,468,47,3,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,صبا به لطف بگو آن غزال رعنا را که سر به کوه و بیابان تو داده‌ای ما را شکرفروش که عمرش دراز باد چرا تفقدی نکند طوطی شکرخا را غرور حسنت اجازت مگر نداد ای گل که پرسشی نکنی عندلیب شیدا را به خلق و لطف توان کرد صید اهل نظر به بند و دام نگیرند مرغ دانا را ندانم از چه سبب رنگ آشنایی نیست سهی قدان سیه چشم ماه سیما را چو با حبیب نشینی و باده پیمایی به یاد دار محبان بادپیما را جز این قدر نتوان گفت در جمال تو عیب که وضع مهر و وفا نیست روی زیبا را در آسمان نه عجب گر به گفته حافظ سرود زهره به رقص آورد مسیحا را,غزل   ۴,0
